"Mode","Daily Person Trips millions","Average time in daily person trip minutes","Annual vehicle miles traveled 100 millions",
"Light duty vehicle",5.49211295999999,25.9122870118382,118.523573188045,
"Motorcycles",.02540171,23.2666666666667,.58411232145,
"Bus",1.52496885,48.8262617239839,7,
"Bus Rapid Transit System",0,0,0,
"Rail",3.45718063999999,54.4270617097566,3.41625293,
"Bicycle",.2374082,20.0354223433242,1.3710575836643,
"Walk",7.67922041999996,12.8899004869786,2.60489367424345,
"Other",.848991559999995,55.5688445983416,24.3269311409881,
"Total",19.2652843399999,28.8833200431992,157.826820838391,
